Model,Accuracy,F1 Score,Precision,Recall,ROC AUC,PRC AUC
L12,0.6226269881990765,0.12074118350268978,0.7481481481481481,0.06566970091027308,0.5138054869850787,0.4176590764146563
L24,0.6680452164323132,0.29093050647820967,0.6693766937669376,0.18585402558314523,0.572331192563822,0.4336531911069589
L6,0.6524930397367755,0.4169851380042463,0.6707650273224044,0.30252618607516946,0.6595343092105959,0.5940295968173435
LT12,0.875064135454079,0.8355285376561973,0.8692902319044272,0.8042912873862159,0.9273106720151639,0.9173539844804338
LT24,0.8464295561069755,0.7997123336929162,0.7658402203856749,0.836719337848006,0.911430491132735,0.8919374257536152
LT6,0.8818020754239433,0.853375196232339,0.8700384122919335,0.8373382624768947,0.9379167169532474,0.9297008536631968
T12,0.870959466393022,0.8180831826401447,0.921760391198044,0.735370611183355,0.9321571047585462,0.9207577287121166
T24,0.8704163220292253,0.812,0.8667805294619982,0.763732129420617,0.9141292097489162,0.9012190600375702
T6,0.8749683624398886,0.8316291751874574,0.9305873379099924,0.751694393099199,0.8563025230100807,0.8015167779950891
TG12,0.8014366341713699,0.7487012987012988,0.7477302204928664,0.7496749024707412,0.8666994060082431,0.8130874662410825
TG24,0.7998345740281224,0.7282934131736527,0.7244973938942666,0.7321294206170053,0.8592391656696272,0.7900575387274327
